Source,Target,weight
LuarBdg,Sukajadi,1.0
Malabar,AHNasution,1.0
Malabar,BragaCityWalk,1.0
Malabar,DagoTengah,1.0
Malabar,JalanAceh,1.0
Margahayuraya,ABC,1.0
Margahayuraya,Katamso,1.0
Margahayuraya,Martadinata,1.0
Martadinata,AHNasution,2.0
Martadinata,BIP,2.0
Martadinata,BuahBatu,1.0
Martadinata,Cibadak,1.0
Martadinata,GatotSubroto,1.0
Martadinata,Martadinata,3.0
Martadinata,OtoIskandarDinata,1.0
Martadinata,Supratman,1.0
MochTohaAtas,KiaraCondong,1.0
OtoIskandarDinata,Lengkong,1.0
Pahlawan,Cicaheum,1.0
Pajajaran,AHNasution,1.0
Pajajaran,IstanaPlaza,1.0
Pajajaran,Kosambi,1.0
Pajajaran,LuarBdg,1.0
Pajajaran,Pajajaran,1.0
Pajajaran,StasiunKABandung,1.0
PasarBaru,AHNasution,1.0
PasarBaru,BandaraHusein,1.0
PasarBaru,Cipaganti,1.0
PasarBaru,DagoBawah,1.0
PasarBaru,IstanaPlaza,1.0
PasarBaru,KebonJati,1.0
PasarBaru,Malabar,1.0
PasarBaru,PasarBaru,1.0
PasarBaru,Sukarasa,1.0
PasarBaru,Tamansari,1.0
PasirImpun,Surapati,1.0
Peta,Karapitan,1.0
Pungkur,Cipagantibawah,1.0
Pungkur,LuarBdg,1.0
PVJ,Braga,1.0
PVJ,Cicaheum,1.0
PVJ,Cijerah,1.0
PVJ,Cipaganti,2.0
PVJ,Cipagantibawah,1.0
PVJ,DagoTengah,1.0
PVJ,GerlongHilir,1.0
PVJ,GTBuahBatu,1.0
PVJ,Hegarmanah,1.0
PVJ,KiaraCondong,1.0
PVJ,LuarBdg,1.0
PVJ,Margahayuraya,1.0
PVJ,Martadinata,1.0
PVJ,Naripan,1.0
PVJ,Pajajaran,2.0
PVJ,PVJ,2.0
PVJ,RSHS,1.0
PVJ,Sarijadi,1.0
PVJ,Sederhana,2.0
PVJ,Setrasari,3.0
PVJ,Surapati,2.0
PVJ,Tamansari,2.0
PVJ,TerusanJakarta,1.0
RajawaliTimur,Cipaganti,1.0
RajawaliTimur,Holis,1.0
Rancabali,LuarBdg,1.0
RayaKopo,RSHS,1.0
RayaResort,DagoAtas,1.0
RayaResort,Martadinata,1.0
RayaResort,Pajajaran,1.0
RiungBandung,Turangga,1.0
RSHS,BTC,1.0
RSHS,Cimahi,1.0
RSHS,Cipagantibawah,1.0
RSHS,RSHS,2.0
RSHS,SetiabudiSelatan,1.0
RSHS,Tamansari,1.0
SadangSerang,Sunda,1.0
Sederhana,IstanaPlaza,1.0
SersanBajuri,Setrasari,1.0
SetiabudiUtara,Ciwalk,1.0
SetiabudiUtara,GatotSubroto,1.0
SetiabudiUtara,Sukarasa,1.0
Setrasari,BTC,1.0
Setrasari,Djunjunan,1.0
