pickup_datetime,dropoff_datetime,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude
2013-01-01 00:00:00,2013-01-01 00:02:00,-73.956528,40.716976,-73.96244,40.715008
2013-01-01 00:00:00,2013-01-01 00:41:00,-73.970512,40.794228,-74.29879,40.987392
2013-01-01 00:00:01,2013-01-01 00:08:42,-73.956512,40.717007,-73.987869,40.718632
2013-01-01 00:00:02,2013-01-01 00:03:18,-73.9785,40.741291,-73.976997,40.732452
2013-01-01 00:00:03,2013-01-01 00:29:54,-74.00267,40.734318,-73.983414,40.757236
2013-01-01 00:00:08,2013-01-01 00:04:58,-73.989029,40.733982,-73.978348,40.724926
2013-01-01 00:00:09,2013-01-01 00:00:36,-73.99221,40.725124,-73.991646,40.726658
2013-01-01 00:00:09,2013-01-01 00:14:36,-73.955994,40.719444,-73.906532,40.70047
2013-01-01 00:00:10,2013-01-01 00:03:43,-73.979179,40.740398,-73.988052,40.732304
2013-01-01 00:00:11,2013-01-01 00:04:56,-73.996643,40.732185,-74.001266,40.725452
2013-01-01 00:00:13,2013-01-01 00:15:00,-73.988739,40.718876,-73.977196,40.751961
2013-01-01 00:00:14,2013-01-01 00:07:10,-73.993736,40.752232,-73.996468,40.742966
2013-01-01 00:00:14,2013-01-01 00:01:37,-73.975441,40.749657,-73.977333,40.751991
2013-01-01 00:00:16,2013-01-01 00:04:11,-73.957649,40.717785,-73.966522,40.714657
2013-01-01 00:00:16,2013-01-01 00:14:24,-73.982323,40.768826,-73.949532,40.779476
2013-01-01 00:00:18,2013-01-01 00:10:35,-73.996498,40.737839,-73.986626,40.751373
2013-01-01 00:00:19,2013-01-01 00:12:50,-73.967804,40.756153,-74.001472,40.733807
2013-01-01 00:00:19,2013-01-01 00:13:58,-74.005646,40.726166,-73.991371,40.727367
2013-01-01 00:00:20,2013-01-01 00:01:22,-73.9701,40.768005,-73.969772,40.767834
2013-01-01 00:00:20,2013-01-01 00:18:14,-74.000221,40.725468,-73.982979,40.776855
2013-01-01 00:00:21,2013-01-01 00:29:19,-73.993385,40.752064,-73.916451,40.768929
2013-01-01 00:00:22,2013-01-01 00:21:51,-73.980583,40.769863,-73.878899,40.828575
2013-01-01 00:00:23,2013-01-01 00:21:00,-74.007523,40.711506,-73.933434,40.697865
2013-01-01 00:00:23,2013-01-01 00:12:24,-73.865562,40.771011,-73.979416,40.748825
2013-01-01 00:00:23,2013-01-01 00:30:51,0,0,0,0
2013-01-01 00:00:24,2013-01-01 00:22:33,-73.987869,40.724018,-73.869926,40.830921
2013-01-01 00:00:25,2013-01-01 00:04:40,-73.989082,40.74831,-73.990425,40.749916
2013-01-01 00:00:27,2013-01-01 00:09:19,-74.004318,40.752754,-73.994576,40.760803
2013-01-01 00:00:27,2013-01-01 00:21:09,-73.794617,40.657207,-73.794617,40.657207
2013-01-01 00:00:28,2013-01-01 00:18:14,-73.989182,40.744717,-73.983742,40.782036
2013-01-01 00:00:30,2013-01-01 00:07:13,-73.988762,40.731087,-73.986206,40.746574
2013-01-01 00:00:31,2013-01-01 00:10:21,-73.960243,40.775673,-73.983398,40.766819
2013-01-01 00:00:32,2013-01-01 00:13:55,-74.006332,40.712013,-73.988365,40.73756
2013-01-01 00:00:33,2013-01-01 00:07:22,-73.96106,40.765018,-73.978745,40.752563
2013-01-01 00:00:34,2013-01-01 00:07:14,-73.982964,40.742157,-73.990982,40.748726
2013-01-01 00:00:36,2013-01-01 00:28:35,-73.99427,40.756458,-73.964249,40.756935
2013-01-01 00:00:40,2013-01-01 00:01:40,-74.005165,40.720531,-74.003929,40.725655
2013-01-01 00:00:43,2013-01-01 00:04:36,-73.979073,40.74432,-73.976311,40.728676
2013-01-01 00:00:44,2013-01-01 00:14:22,-73.978264,40.745548,-73.952492,40.80014
2013-01-01 00:00:44,2013-01-01 00:25:55,-74.004631,40.746944,-73.915642,40.760651
2013-01-01 00:00:44,2013-01-01 00:12:05,-73.952362,40.786572,-73.938469,40.828808
2013-01-01 00:00:46,2013-01-01 00:04:06,-73.994049,40.718227,-73.987206,40.720482
