No,Origin,Destination,Trip Count
1,Kebon Jati,Kebon Jati,142
2,Luar Bdg,Luar Bdg,81
3,Rancabali,Rancabali,52
4,PVJ,RSHS,44
5,PVJ,PVJ,43
6,StasiunKA Bandung,StasiunKA Bandung,42
7,Martadinata,Martadinata,40
8,StasiunKA Bandung,Luar Bdg,38
9,Ciumbeuleuit,Ciumbeuleuit,36
10,Kebon Jati,Luar Bdg,33
