No,Origin,Trip Count
1,Kebon Jati,610
2,PVJ,586
3,StasiunKA Bandung,548
4,Luar Bdg,410
5,Martadinata,324
6,Ciumbeuleuit,302
7,BIP,209
8,Cihampelas Atas,202
9,Cihampelas bawah,186
10,BTC,178
