No,Origin,Trip Count
1,PVJ,14
2,Kebon Jati,8
3,Martadinata,6
4,Cihampelas Atas,5
5,StasiunKA Bandung,5
6,Sukajadi,5
7,Dago Bawah,4
8,BTC,4
9,Malabar,3
10,BIP,3
