Source,Target,weight
Lengkong,GatotSubroto,1.0
Lodaya,DagoBawah,1.0
LuarBdg,BTC,1.0
LuarBdg,BuahBatu,2.0
LuarBdg,CihampelasAtas,1.0
LuarBdg,Cimindi,1.0
LuarBdg,Djunjunan,1.0
LuarBdg,GTBuahBatu,1.0
LuarBdg,KiaraCondong,1.0
LuarBdg,LebakSiliwangi,1.0
LuarBdg,LuarBdg,3.0
LuarBdg,Martadinata,2.0
LuarBdg,MochTohaAtas,1.0
LuarBdg,RajawaliTimur,1.0
LuarBdg,Situsaeur,1.0
LuarBdg,TerminalLeuwipanjang,1.0
Malabar,Alunalun,1.0
Malabar,Cipedes,1.0
Martadinata,BIP,2.0
Martadinata,Cibadak,1.0
Martadinata,Cipagantibawah,1.0
Martadinata,DagoBawah,1.0
Martadinata,DagoTengah,1.0
Martadinata,DipatiUkur,1.0
Martadinata,KiaraCondong,1.0
Martadinata,LuarBdg,1.0
Martadinata,Martadinata,4.0
Martadinata,PasarBaru,1.0
Martadinata,PHMustopha,1.0
Martadinata,Pungkur,1.0
Martadinata,PVJ,1.0
Martadinata,RSHS,1.0
Martadinata,Tamansari,1.0
MetroIndahMall,Batununggal,1.0
MochToha,Cipaganti,1.0
MochToha,Djunjunan,1.0
Naripan,BragaCityWalk,2.0
OtoIskandarDinata,Martadinata,1.0
OtoIskandarDinata,Suci,1.0
OtoIskandarDinata,SuryaSumantri,1.0
Padasuka,PasirImpun,1.0
Pagarsih,SetiabudiSelatan,1.0
PasarBaru,LapangTegaLega,1.0
PasirKoja,Surapati,1.0
Pasirluyu,Burangrang,1.0
Pelesiran,Surapati,1.0
Peta,GatotSubroto,1.0
Peta,Leuwipanjang,1.0
Pungkur,DewiSartika,1.0
PVJ,BIP,3.0
PVJ,CihampelasAtas,1.0
PVJ,Cipagantibawah,1.0
PVJ,Ciwalk,2.0
PVJ,DagoAtas,2.0
PVJ,Djunjunan,1.0
PVJ,GatotSubroto,1.0
PVJ,GerlongHilir,1.0
PVJ,IstanaPlaza,1.0
PVJ,Laswi,2.0
PVJ,Lembong,1.0
PVJ,MetroIndahMall,1.0
PVJ,Pajajaran,1.0
PVJ,Peta,1.0
PVJ,PVJ,3.0
PVJ,RSHS,4.0
PVJ,SetiabudiSelatan,1.0
PVJ,SetiabudiUtara,1.0
PVJ,Setrasari,1.0
PVJ,StasiunKABandung,1.0
PVJ,Sukajadi,2.0
PVJ,Sukarasa,1.0
PVJ,SultanAgung,1.0
PVJ,Surapati,1.0
PVJ,SuryaSumantri,1.0
PVJ,Tamansari,2.0
PVJ,TerusanBuahBatu,1.0
RajawaliTimur,GatotSubroto,1.0
RajawaliTimur,Veteran,1.0
Rancabali,Rancabali,3.0
RayaKopo,LuarBdg,1.0
RayaKopo,MetroIndahMall,1.0
RayaResort,BIP,1.0
