No,Origin,Destination,Trip Count
1,Kebon Jati,Kebon Jati,3
2,Cihampelas Atas,Dago Atas,2
3,Martadinata,BIP,2
4,Martadinata,Martadinata,2
5,PVJ,PVJ,2
6,AH Nasution,Cicadas,1
7,AH Nasution,StasiunKA Bandung,1
8,Alun alun,Braga City Walk,1
9,Ambon,PVJ,1
10,AsiaAfrika,Kebon Jati,1
