596,663
558,640
520,607
400,538
597,491
480,437
637,379
440,334
521,324
479,320
598,320
441,300
365,283
398,277
522,270
518,268
361,264
402,249
559,229
519,225
557,214
482,201
324,191
680,189
443,186
636,179
638,177
207,164
363,164
323,146
404,132
639,130
681,129
481,124
364,123
675,123
438,120
483,120
326,117
362,115
635,115
753,114
401,111
602,109
442,107
514,106
322,103
397,100
166,97
285,97
640,95
484,93
478,92
560,92
283,91
641,89
517,85
516,84
566,80
211,79
523,77
679,77
829,77
244,75
515,71
600,68
718,64
288,62
524,60
757,60
274,59
319,59
564,58
563,57
439,55
599,54
790,53
490,51
527,51
246,50
366,49
562,49
485,48
567,48
596,597,48
249,47
677,47
205,46
358,45
674,45
596,596,44
751,44
396,43
552,43
284,41
804,41
752,40
210,39
444,39
837,39
405,37
594,37
447,36
716,36
803,36
520,520,35
714,35
755,34
874,34
172,33
488,33
565,33
678,33
203,32
282,32
595,32
838,32
243,31
320,31
400,440,31
561,31
832,30
797,29
287,28
553,28
558,557,28
708,28
469,27
634,27
828,27
558,558,26
603,26
796,26
356,25
480,480,25
601,25
671,25
127,24
400,361,24
489,24
491,24
836,24
839,24
235,23
448,23
528,23
713,23
721,23
722,23
403,22
407,22
717,22
313,21
353,21
400,400,21
408,21
551,21
593,21
597,597,21
831,21
833,21
352,20
391,20
556,20
558,518,20
754,20
157,19
213,19
398,479,19
400,479,19
480,520,19
486,19
590,19
591,19
676,19
355,18
359,18
400,323,18
432,18
521,521,18
522,522,18
605,18
868,18
367,17
400,520,17
430,17
558,520,17
569,17
596,598,17
715,17
756,17
994,17
281,16
395,16
446,16
487,16
568,16
596,559,16
633,16
683,16
766,16
800,16
904,16
15,15
50,15
252,15
393,15
451,15
522,521,15
533,15
558,596,15
637,637,15
761,15
801,15
877,15
201,14
214,14
325,14
400,322,14
558,479,14
596,520,14
604,14
628,14
765,14
87,13
207,365,13
215,13
245,13
280,13
441,441,13
534,13
558,480,13
597,520,13
682,13
759,13
946,13
955,13
79,12
118,12
202,12
207,324,12
318,12
394,12
400,324,12
511,12
521,520,12
558,597,12
596,557,12
597,598,12
597,637,12
637,598,12
644,12
720,12
14,11
173,11
212,11
361,479,11
398,398,11
398,478,11
399,11
472,11
592,11
632,11
767,11
770,11
788,11
835,11
875,11
916,11
16,10
400,519,10
400,363,10
440,479,10
532,10
558,637,10
596,637,10
596,680,10
597,680,10
607,10
611,10
669,10
792,10
802,10
917,10
943,10
981,10
